backend,mutation_kind,arity,num_buckets,bucket_size,value_bits,plaintext_bits,lwe_dim,n_mutations,load_factor,n_succeeded,total_ms,ops_per_s,cells_per_slot,row_width,segment_rows,db_rows,db_cols
simple,delete,3,1572864,3,2048,10,1275,47185,0.90,47185,23544.626,2004.07,208,624,524288,18079,18096
simple,insert,3,1572864,3,8192,10,1275,47185,0.90,47185,661167.846,71.37,823,2469,524288,34953,37035
simple,update,3,1572864,3,8192,10,1275,47185,0.90,47185,237913.042,198.33,823,2469,524288,34953,37035
simple,delete,3,1572864,3,8192,10,1275,47185,0.90,47185,241113.802,195.70,823,2469,524288,34953,37035
simple,insert,4,524288,3,256,10,1275,15728,0.90,15728,5389.952,2918.02,29,87,131072,3361,3393
simple,update,4,524288,3,256,10,1275,15728,0.90,15728,2580.978,6093.81,29,87,131072,3361,3393
simple,delete,4,524288,3,256,10,1275,15728,0.90,15728,2869.803,5480.52,29,87,131072,3361,3393
simple,insert,4,524288,3,2048,10,1275,15728,0.90,15728,37879.404,415.21,208,624,131072,9363,8736
simple,update,4,524288,3,2048,10,1275,15728,0.90,15728,19781.918,795.07,208,624,131072,9363,8736
simple,delete,4,524288,3,2048,10,1275,15728,0.90,15728,20292.894,775.05,208,624,131072,9363,8736
simple,insert,4,524288,3,8192,10,1275,15728,0.90,15728,146239.640,107.55,823,2469,131072,18725,17283
simple,update,4,524288,3,8192,10,1275,15728,0.90,15728,78757.159,199.70,823,2469,131072,18725,17283
simple,delete,4,524288,3,8192,10,1275,15728,0.90,15728,79604.013,197.58,823,2469,131072,18725,17283
simple,insert,4,1048576,3,256,10,1275,31457,0.90,31457,10838.795,2902.26,29,87,262144,4767,4785
simple,update,4,1048576,3,256,10,1275,31457,0.90,31457,5391.230,5834.85,29,87,262144,4767,4785
simple,delete,4,1048576,3,256,10,1275,31457,0.90,31457,5913.642,5319.40,29,87,262144,4767,4785
simple,insert,4,1048576,3,2048,10,1275,31457,0.90,31457,74356.872,423.05,208,624,262144,13108,12480
simple,update,4,1048576,3,2048,10,1275,31457,0.90,31457,39690.147,792.56,208,624,262144,13108,12480
simple,delete,4,1048576,3,2048,10,1275,31457,0.90,31457,39978.372,786.85,208,624,262144,13108,12480
simple,insert,4,1048576,3,8192,10,1275,31457,0.90,31457,205095.522,153.38,823,2469,262144,26215,24690
simple,update,4,1048576,3,8192,10,1275,31457,0.90,31457,108655.189,289.51,823,2469,262144,26215,24690
simple,delete,4,1048576,3,8192,10,1275,31457,0.90,31457,110023.743,285.91,823,2469,262144,26215,24690
