scheme,arity,num_buckets,bucket_size,degree,count
standard,4,65536,4,19,4570
standard,4,65536,4,20,3698
standard,4,65536,4,21,2648
standard,4,65536,4,22,1929
standard,4,65536,4,23,1419
standard,4,65536,4,24,923
standard,4,65536,4,25,577
standard,4,65536,4,26,369
standard,4,65536,4,27,215
standard,4,65536,4,28,128
standard,4,65536,4,29,71
standard,4,65536,4,30,46
standard,4,65536,4,31,22
standard,4,65536,4,32,18
standard,4,65536,4,33,5
standard,4,65536,4,34,2
standard,4,65536,4,35,1
